Country Name,Country Code,Source,Year,Production
Guatemala,GTM,Oil,2000,39.37
Guam,GUM,Oil,2000,0.0
Guyana,GUY,Oil,2000,0.0
High income,HIC,Oil,2000,6.15
"Hong Kong SAR, China",HKG,Oil,2000,0.49
Honduras,HND,Oil,2000,38.09
Heavily indebted poor countries (HIPC),HPC,Oil,2000,9.44
Croatia,HRV,Oil,2000,14.98
Haiti,HTI,Oil,2000,48.26
Hungary,HUN,Oil,2000,12.51
IBRD only,IBD,Oil,2000,8.5
IDA & IBRD total,IBT,Oil,2000,9.06
IDA total,IDA,Oil,2000,18.86
IDA blend,IDB,Oil,2000,22.6
Indonesia,IDN,Oil,2000,19.65
IDA only,IDX,Oil,2000,15.29
Isle of Man,IMN,Oil,2000,0.0
India,IND,Oil,2000,5.12
Not classified,INX,Oil,2000,0.0
Ireland,IRL,Oil,2000,19.59
"Iran, Islamic Rep.",IRN,Oil,2000,20.89
Iraq,IRQ,Oil,2000,79.32
Iceland,ISL,Oil,2000,0.07
Israel,ISR,Oil,2000,31.09
Italy,ITA,Oil,2000,31.81
Jamaica,JAM,Oil,2000,95.16
Jordan,JOR,Oil,2000,89.37
Japan,JPN,Oil,2000,13.23
Kazakhstan,KAZ,Oil,2000,5.15
Kenya,KEN,Oil,2000,53.02
Kyrgyz Republic,KGZ,Oil,2000,0.0
Cambodia,KHM,Oil,2000,99.78
Kiribati,KIR,Oil,2000,0.0
St. Kitts and Nevis,KNA,Oil,2000,0.0
"Korea, Rep.",KOR,Oil,2000,11.99
Kuwait,KWT,Oil,2000,67.06
Latin America & Caribbean (excluding high income),LAC,Oil,2000,18.15
Lao PDR,LAO,Oil,2000,0.0
Lebanon,LBN,Oil,2000,95.36
Liberia,LBR,Oil,2000,0.0
Libya,LBY,Oil,2000,78.06
St. Lucia,LCA,Oil,2000,0.0
Latin America & Caribbean,LCN,Oil,2000,16.37
Least developed countries: UN classification,LDC,Oil,2000,13.39
Low income,LIC,Oil,2000,0.0
Liechtenstein,LIE,Oil,2000,0.0
Sri Lanka,LKA,Oil,2000,54.2
Lower middle income,LMC,Oil,2000,12.1
Low & middle income,LMY,Oil,2000,9.42
Lesotho,LSO,Oil,2000,0.0
Late-demographic dividend,LTE,Oil,2000,5.65
Lithuania,LTU,Oil,2000,5.58
Luxembourg,LUX,Oil,2000,0.0
Latvia,LVA,Oil,2000,2.59
"Macao SAR, China",MAC,Oil,2000,0.0
St. Martin (French part),MAF,Oil,2000,0.0
Morocco,MAR,Oil,2000,25.64
Monaco,MCO,Oil,2000,0.0
Moldova,MDA,Oil,2000,0.57
Madagascar,MDG,Oil,2000,0.0
Maldives,MDV,Oil,2000,0.0
Middle East & North Africa,MEA,Oil,2000,31.75
Mexico,MEX,Oil,2000,45.51
Marshall Islands,MHL,Oil,2000,0.0
Middle income,MIC,Oil,2000,9.25
North Macedonia,MKD,Oil,2000,6.33
Mali,MLI,Oil,2000,0.0
Malta,MLT,Oil,2000,100.0
Myanmar,MMR,Oil,2000,13.5
Middle East & North Africa (excluding high income),MNA,Oil,2000,35.35
Montenegro,MNE,Oil,2000,0.0
Mongolia,MNG,Oil,2000,2.99
Northern Mariana Islands,MNP,Oil,2000,0.0
Mozambique,MOZ,Oil,2000,0.43
Mauritania,MRT,Oil,2000,0.0
Mauritius,MUS,Oil,2000,49.94
Malawi,MWI,Oil,2000,0.0
Malaysia,MYS,Oil,2000,5.2
North America,NAC,Oil,2000,2.8
Namibia,NAM,Oil,2000,0.0
New Caledonia,NCL,Oil,2000,0.0
Niger,NER,Oil,2000,34.47
Nigeria,NGA,Oil,2000,0.0
Nicaragua,NIC,Oil,2000,78.6
Netherlands,NLD,Oil,2000,2.95
Norway,NOR,Oil,2000,0.01
Nepal,NPL,Oil,2000,1.63
Nauru,NRU,Oil,2000,0.0
New Zealand,NZL,Oil,2000,0.0
OECD members,OED,Oil,2000,6.05
Oman,OMN,Oil,2000,17.17
Other small states,OSS,Oil,2000,10.84
Pakistan,PAK,Oil,2000,39.5
Panama,PAN,Oil,2000,29.57
Peru,PER,Oil,2000,12.31
Philippines,PHL,Oil,2000,20.28
Palau,PLW,Oil,2000,0.0
Papua New Guinea,PNG,Oil,2000,0.0
Poland,POL,Oil,2000,1.34
Pre-demographic dividend,PRE,Oil,2000,30.57
Puerto Rico,PRI,Oil,2000,0.0
"Korea, Dem. People's Rep.",PRK,Oil,2000,4.11
Portugal,PRT,Oil,2000,19.42
Paraguay,PRY,Oil,2000,0.0
West Bank and Gaza,PSE,Oil,2000,0.0
Pacific island small states,PSS,Oil,2000,0.0
Post-demographic dividend,PST,Oil,2000,5.38
French Polynesia,PYF,Oil,2000,0.0
Qatar,QAT,Oil,2000,0.0
Romania,ROU,Oil,2000,6.54
Russian Federation,RUS,Oil,2000,3.76
Rwanda,RWA,Oil,2000,0.0
South Asia,SAS,Oil,2000,9.11
Saudi Arabia,SAU,Oil,2000,27.68
Sudan,SDN,Oil,2000,53.95
Senegal,SEN,Oil,2000,89.84
Singapore,SGP,Oil,2000,79.95
Solomon Islands,SLB,Oil,2000,0.0
Sierra Leone,SLE,Oil,2000,0.0
El Salvador,SLV,Oil,2000,41.93
San Marino,SMR,Oil,2000,0.0
Somalia,SOM,Oil,2000,0.0
Serbia,SRB,Oil,2000,0.92
Sub-Saharan Africa (excluding high income),SSA,Oil,2000,2.39
South Sudan,SSD,Oil,2000,0.0
Sub-Saharan Africa,SSF,Oil,2000,2.39
Small states,SST,Oil,2000,16.17
Sao Tome and Principe,STP,Oil,2000,0.0
Suriname,SUR,Oil,2000,11.6
Slovak Republic,SVK,Oil,2000,0.66
Slovenia,SVN,Oil,2000,0.4
Sweden,SWE,Oil,2000,1.06
Eswatini,SWZ,Oil,2000,0.0
Sint Maarten (Dutch part),SXM,Oil,2000,0.0
Seychelles,SYC,Oil,2000,0.0
Syrian Arab Republic,SYR,Oil,2000,50.09
Turks and Caicos Islands,TCA,Oil,2000,0.0
Chad,TCD,Oil,2000,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,Oil,2000,5.54
Europe & Central Asia (IDA & IBRD countries),TEC,Oil,2000,4.46
Togo,TGO,Oil,2000,42.86
Thailand,THA,Oil,2000,10.45
Tajikistan,TJK,Oil,2000,0.0
Turkmenistan,TKM,Oil,2000,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Oil,2000,16.03
Timor-Leste,TLS,Oil,2000,0.0
Middle East & North Africa (IDA & IBRD countries),TMN,Oil,2000,35.74
Tonga,TON,Oil,2000,0.0
South Asia (IDA & IBRD),TSA,Oil,2000,9.11
Sub-Saharan Africa (IDA & IBRD countries),TSS,Oil,2000,2.39
Trinidad and Tobago,TTO,Oil,2000,0.05
Tunisia,TUN,Oil,2000,11.6
Turkiye,TUR,Oil,2000,7.45
Tuvalu,TUV,Oil,2000,0.0
Tanzania,TZA,Oil,2000,10.92
Uganda,UGA,Oil,2000,0.0
Ukraine,UKR,Oil,2000,0.69
Upper middle income,UMC,Oil,2000,8.19
Uruguay,URY,Oil,2000,6.62
United States,USA,Oil,2000,2.94
Uzbekistan,UZB,Oil,2000,10.05
St. Vincent and the Grenadines,VCT,Oil,2000,0.0
"Venezuela, RB",VEN,Oil,2000,9.27
British Virgin Islands,VGB,Oil,2000,0.0
Virgin Islands (U.S.),VIR,Oil,2000,0.0
Vietnam,VNM,Oil,2000,17.01
Vanuatu,VUT,Oil,2000,0.0
World,WLD,Oil,2000,7.3
Samoa,WSM,Oil,2000,0.0
Kosovo,XKX,Oil,2000,0.64
"Yemen, Rep.",YEM,Oil,2000,100.0
South Africa,ZAF,Oil,2000,0.0
Zambia,ZMB,Oil,2000,0.44
Zimbabwe,ZWE,Oil,2000,0.94
Aruba,ABW,Nuclear,2001,0.0
Africa Eastern and Southern,AFE,Nuclear,2001,3.78
Afghanistan,AFG,Nuclear,2001,0.0
Africa Western and Central,AFW,Nuclear,2001,0.0
Angola,AGO,Nuclear,2001,0.0
Albania,ALB,Nuclear,2001,0.0
Andorra,AND,Nuclear,2001,0.0
Arab World,ARB,Nuclear,2001,0.0
United Arab Emirates,ARE,Nuclear,2001,0.0
Argentina,ARG,Nuclear,2001,7.83
Armenia,ARM,Nuclear,2001,34.59
American Samoa,ASM,Nuclear,2001,0.0
Antigua and Barbuda,ATG,Nuclear,2001,0.0
Australia,AUS,Nuclear,2001,0.0
Austria,AUT,Nuclear,2001,0.0
Azerbaijan,AZE,Nuclear,2001,0.0
Burundi,BDI,Nuclear,2001,0.0
Belgium,BEL,Nuclear,2001,58.95
Benin,BEN,Nuclear,2001,0.0
Burkina Faso,BFA,Nuclear,2001,0.0
Bangladesh,BGD,Nuclear,2001,0.0
Bulgaria,BGR,Nuclear,2001,44.91
Bahrain,BHR,Nuclear,2001,0.0
"Bahamas, The",BHS,Nuclear,2001,0.0
Bosnia and Herzegovina,BIH,Nuclear,2001,0.0
Belarus,BLR,Nuclear,2001,0.0
Belize,BLZ,Nuclear,2001,0.0
Bermuda,BMU,Nuclear,2001,0.0
Bolivia,BOL,Nuclear,2001,0.0
Brazil,BRA,Nuclear,2001,4.35
Barbados,BRB,Nuclear,2001,0.0
Brunei Darussalam,BRN,Nuclear,2001,0.0
Bhutan,BTN,Nuclear,2001,0.0
Botswana,BWA,Nuclear,2001,0.0
Central African Republic,CAF,Nuclear,2001,0.0
Canada,CAN,Nuclear,2001,13.0
Central Europe and the Baltics,CEB,Nuclear,2001,20.0
Switzerland,CHE,Nuclear,2001,37.73
Channel Islands,CHI,Nuclear,2001,0.0
Chile,CHL,Nuclear,2001,0.0
China,CHN,Nuclear,2001,1.18
Cote d'Ivoire,CIV,Nuclear,2001,0.0
Cameroon,CMR,Nuclear,2001,0.0
"Congo, Dem. Rep.",COD,Nuclear,2001,0.0
"Congo, Rep.",COG,Nuclear,2001,0.0
Colombia,COL,Nuclear,2001,0.0
Comoros,COM,Nuclear,2001,0.0
Cabo Verde,CPV,Nuclear,2001,0.0
Costa Rica,CRI,Nuclear,2001,0.0
Caribbean small states,CSS,Nuclear,2001,0.0
Cuba,CUB,Nuclear,2001,0.0
Curacao,CUW,Nuclear,2001,0.0
Cayman Islands,CYM,Nuclear,2001,0.0
Cyprus,CYP,Nuclear,2001,0.0
Czech Republic,CZE,Nuclear,2001,19.87
Germany,DEU,Nuclear,2001,29.44
Djibouti,DJI,Nuclear,2001,0.0
Dominica,DMA,Nuclear,2001,0.0
Denmark,DNK,Nuclear,2001,0.0
Dominican Republic,DOM,Nuclear,2001,0.0
Algeria,DZA,Nuclear,2001,0.0
East Asia & Pacific (excluding high income),EAP,Nuclear,2001,0.94
Early-demographic dividend,EAR,Nuclear,2001,2.12
East Asia & Pacific,EAS,Nuclear,2001,12.84
Europe & Central Asia (excluding high income),ECA,Nuclear,2001,15.68
Europe & Central Asia,ECS,Nuclear,2001,25.7
Ecuador,ECU,Nuclear,2001,0.0
"Egypt, Arab Rep.",EGY,Nuclear,2001,0.0
