Country Name,Country Code,Indicator Name,Indicator Code,Region,IncomeGroup,Year,Transmission and Distribution Losses
Dominica,DMA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,0.0
Denmark,DNK,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,5.84
Dominican Republic,DOM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,12.28
Algeria,DZA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,Lower middle income,2000,16.15
East Asia & Pacific (excluding high income),EAP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,7.75
Early-demographic dividend,EAR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,17.35
East Asia & Pacific,EAS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,6.25
Europe & Central Asia (excluding high income),ECA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,13.72
Europe & Central Asia,ECS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,9.21
Ecuador,ECU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,24.13
"Egypt, Arab Rep.",EGY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,Lower middle income,2000,13.76
Euro area,EMU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,6.4
Eritrea,ERI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,18.1
Spain,ESP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,8.72
Estonia,EST,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,14.58
Ethiopia,ETH,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,9.98
European Union,EUU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,7.07
Fragile and conflict affected situations,FCS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,21.49
Finland,FIN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,3.76
Fiji,FJI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Upper middle income,2000,0.0
France,FRA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,5.68
Faroe Islands,FRO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,0.0
"Micronesia, Fed. Sts.",FSM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Lower middle income,2000,0.0
Gabon,GAB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Upper middle income,2000,17.79
United Kingdom,GBR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,8.32
Georgia,GEO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,Upper middle income,2000,16.82
Ghana,GHA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Lower middle income,2000,19.48
Gibraltar,GIB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,3.2
Guinea,GIN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,0.0
"Gambia, The",GMB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,0.0
Guinea-Bissau,GNB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,0.0
Equatorial Guinea,GNQ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Upper middle income,2000,0.0
Greece,GRC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,8.0
Grenada,GRD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,0.0
Greenland,GRL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,0.0
Guatemala,GTM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,24.7
Guam,GUM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,0.0
Guyana,GUY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,0.0
High income,HIC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,6.18
"Hong Kong SAR, China",HKG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,12.93
Honduras,HND,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Lower middle income,2000,19.63
Heavily indebted poor countries (HIPC),HPC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,14.51
Croatia,HRV,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,18.31
Haiti,HTI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Lower middle income,2000,44.61
Hungary,HUN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,13.75
IBRD only,IBD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,13.32
IDA & IBRD total,IBT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,13.66
IDA total,IDA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,20.24
IDA blend,IDB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,20.56
Indonesia,IDN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Lower middle income,2000,11.51
IDA only,IDX,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,19.9
Isle of Man,IMN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,0.0
India,IND,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,South Asia,Lower middle income,2000,27.22
Not classified,INX,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,0.0
Ireland,IRL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,8.53
"Iran, Islamic Rep.",IRN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,Lower middle income,2000,15.82
Iraq,IRQ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,Upper middle income,2000,8.59
Iceland,ISL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,4.11
Israel,ISR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,High income,2000,3.37
Italy,ITA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,7.11
Jamaica,JAM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,8.52
Jordan,JOR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,Upper middle income,2000,10.97
Japan,JPN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,4.31
Kazakhstan,KAZ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,Upper middle income,2000,13.96
Kenya,KEN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Lower middle income,2000,21.64
Kyrgyz Republic,KGZ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,Lower middle income,2000,25.39
Cambodia,KHM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Lower middle income,2000,11.16
Kiribati,KIR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Lower middle income,2000,0.0
St. Kitts and Nevis,KNA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,High income,2000,0.0
"Korea, Rep.",KOR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,4.32
Kuwait,KWT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,High income,2000,11.0
Latin America & Caribbean (excluding high income),LAC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,15.4
Lao PDR,LAO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Lower middle income,2000,0.0
Lebanon,LBN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,Lower middle income,2000,14.32
Liberia,LBR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,0.0
Libya,LBY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,Upper middle income,2000,23.18
St. Lucia,LCA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,0.0
Latin America & Caribbean,LCN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,15.86
Least developed countries: UN classification,LDC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,15.01
Low income,LIC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,18.16
Liechtenstein,LIE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,0.0
Sri Lanka,LKA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,South Asia,Lower middle income,2000,20.96
Lower middle income,LMC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,20.87
Low & middle income,LMY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,13.65
Lesotho,LSO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Lower middle income,2000,0.0
Late-demographic dividend,LTE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,10.36
Lithuania,LTU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,11.52
Luxembourg,LUX,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,9.72
Latvia,LVA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,23.98
"Macao SAR, China",MAC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,0.0
St. Martin (French part),MAF,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,High income,2000,0.0
Morocco,MAR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,Lower middle income,2000,8.4
Monaco,MCO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,0.0
Moldova,MDA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,Upper middle income,2000,25.49
Madagascar,MDG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,0.0
Maldives,MDV,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,South Asia,Upper middle income,2000,0.0
Middle East & North Africa,MEA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,11.71
Mexico,MEX,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,13.85
Marshall Islands,MHL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Upper middle income,2000,0.0
Middle income,MIC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,13.58
North Macedonia,MKD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,Upper middle income,2000,15.14
Mali,MLI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,0.0
Malta,MLT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,High income,2000,12.26
Myanmar,MMR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Lower middle income,2000,31.3
Middle East & North Africa (excluding high income),MNA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,15.66
Montenegro,MNE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,Upper middle income,2000,0.0
Mongolia,MNG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Lower middle income,2000,19.55
Northern Mariana Islands,MNP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,0.0
Mozambique,MOZ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,10.1
Mauritania,MRT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Lower middle income,2000,0.0
Mauritius,MUS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Upper middle income,2000,9.0
Malawi,MWI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,0.0
Malaysia,MYS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Upper middle income,2000,8.0
North America,NAC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,5.97
Namibia,NAM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Upper middle income,2000,14.5
New Caledonia,NCL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,0.0
Niger,NER,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,18.93
Nigeria,NGA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Lower middle income,2000,38.15
Nicaragua,NIC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Lower middle income,2000,30.46
Netherlands,NLD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,5.49
Norway,NOR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,8.2
Nepal,NPL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,South Asia,Lower middle income,2000,21.22
Nauru,NRU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,0.0
New Zealand,NZL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,7.76
OECD members,OED,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,6.49
Oman,OMN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,High income,2000,20.29
Other small states,OSS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,7.61
Pakistan,PAK,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,South Asia,Lower middle income,2000,24.27
Panama,PAN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,High income,2000,23.86
Peru,PER,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,11.48
Philippines,PHL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Lower middle income,2000,14.01
Palau,PLW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Upper middle income,2000,0.0
Papua New Guinea,PNG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Lower middle income,2000,0.0
Poland,POL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,9.94
Pre-demographic dividend,PRE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,15.64
Puerto Rico,PRI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,High income,2000,0.0
"Korea, Dem. People's Rep.",PRK,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Low income,2000,15.8
Portugal,PRT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,8.41
Paraguay,PRY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Upper middle income,2000,2.67
West Bank and Gaza,PSE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,Lower middle income,2000,0.0
Pacific island small states,PSS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,0.0
Post-demographic dividend,PST,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,6.36
French Polynesia,PYF,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,0.0
Qatar,QAT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,High income,2000,6.93
Romania,ROU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,12.76
Russian Federation,RUS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,Upper middle income,2000,11.6
Rwanda,RWA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,0.0
South Asia,SAS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,2000,26.55
Saudi Arabia,SAU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Middle East & North Africa,High income,2000,7.24
Sudan,SDN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,15.53
Senegal,SEN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Lower middle income,2000,37.34
Singapore,SGP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,High income,2000,3.64
Solomon Islands,SLB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,East Asia & Pacific,Lower middle income,2000,0.0
Sierra Leone,SLE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,0.0
El Salvador,SLV,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latin America & Caribbean,Lower middle income,2000,13.38
San Marino,SMR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Europe & Central Asia,High income,2000,0.0
Somalia,SOM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sub-Saharan Africa,Low income,2000,0.0
